Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,8.531999588,8.590999603,8.562000275,8.548999786,8.751000404,8.767999649,8.802000046,8.862000465,8.904000282,8.895000458,8.82199955,9.31099987,9.605999947,9.619999886,10.02099991,10.26399994,10.71899986,10.91399956,10.95699978,10.75500011,10.35900021,10.20499992,10.02900028,9.819000244,9.597999573,9.510000229,9.50399971,9.828000069,10.07900047,10.32299995
Angola,AGO,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,49.89199829,49.9129982,49.78900146,49.80099869,50.37400055,50.93899918,51.60800171,52.11600113,52.2879982,52.66400146,53.44400024,54.14400101,54.25899887,53.93399811,52.23300171,50.66799927,49.08599854,47.47100067,45.97200012,43.3390007,40.87799835,40.48300171,40.57400131,40.91500092,41.37599945,41.65299988,41.87799835,42.21300125,42.5320015,42.84999847
Albania,ALB,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,26.69000053,26.72599983,27.38999939,28.03700066,28.3029995,28.5,28.03000069,28.65200043,29.20599937,29.89299965,30.63899994,31.29199982,32.01800156,32.50099945,32.86999893,33.45500183,34.01499939,34.26200104,32.52199936,36.27099991,34.20800018,32.34000015,36.58599854,37.83599854,38.29000092,40.38399887,42.32500076,42.84400177,43.31999969,43.81600189
Andorra,AND,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,39.10007817,38.17582573,40.54321809,40.59846863,42.06058579,42.97528097,43.95865225,45.63413238,46.87693747,45.97177413,48.068806,49.90737126,49.21435932,48.31955339,49.44749479,51.09654755,51.02925977,52.40085911,53.38153912,55.08555386,56.315426,58.2691705,57.70083008,58.11907437,59.57646696,60.44533908,60.78151147,61.07218905,61.54552235,61.92863829
United Arab Emirates,ARE,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,85.32800293,85.50299835,85.65200043,85.8710022,86.16200256,86.24900055,86.26999664,86.23200226,86.24700165,86.28500366,87.12799835,87.96299744,88.81500244,89.59799957,90.23699951,90.79699707,91.28800201,91.70400238,92.07800293,92.47699738,92.85800171,93.18299866,93.45300293,93.66300201,93.8239975,94.04599762,94.31400299,94.45700073,94.52999878,94.58100128
Argentina,ARG,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,79.85800171,80.57099915,83.39499664,85.13400269,84.54100037,87.21499634,88.0530014,88.96800232,88.90299988,89.40899658,89.24199677,90.08899689,87.79199982,88.16899872,88.59700012,88.83000183,89.11199951,89.41200256,89.91600037,90.17199707,89.69300079,90.18599701,90.78800201,91.45300293,91.27100372,91.07700348,90.81900024,90.80599976,91.12200165,91.34500122
Armenia,ARM,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,39.26399994,39.27199936,39.56499863,39.73899841,40.07799911,40.56999969,40.99300003,41.69100189,42.23500061,42.74399948,43.63000107,44.4659996,45.3730011,46.11899948,46.99900055,47.66600037,48.26699829,48.69499969,48.87200165,46.90499878,48.00299835,48.48199844,48.7820015,51.37400055,52.38499832,55.23400116,56.34899902,57.37799835,58.19400024,58.86899948
American Samoa,ASM,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
